Scenario,Random_Seed,Iteration,Num_Experiments,yield_Measurements,yield_IterBest,yield_CumBest,Initial_Data
1,1338,8,18,"[61.09, 16.83]",61.09,65.32,3.0
1,1338,9,20,"[26.56, 18.38]",26.56,65.32,3.0
1,1338,0,2,"[37.4, 0.0]",37.4,37.4,4.0
1,1338,1,4,"[3.6, 5.22]",5.22,37.4,4.0
1,1338,2,6,"[5.75, 0.0]",5.75,37.4,4.0
1,1338,3,8,"[0.0, 0.0]",0.0,37.4,4.0
1,1338,4,10,"[57.27, 47.03]",57.27,57.27,4.0
1,1338,5,12,"[5.62, 5.62]",5.62,57.27,4.0
1,1338,6,14,"[5.29, 2.72]",5.29,57.27,4.0
1,1338,7,16,"[3.4, 14.53]",14.53,57.27,4.0
1,1338,8,18,"[37.38, 0.0]",37.38,57.27,4.0
1,1338,9,20,"[1.71, 0.41]",1.71,57.27,4.0
1,1338,0,2,"[7.12, 0.0]",7.12,7.12,5.0
1,1338,1,4,"[3.6, 5.22]",5.22,7.12,5.0
1,1338,2,6,"[5.75, 0.0]",5.75,7.12,5.0
1,1338,3,8,"[0.0, 0.0]",0.0,7.12,5.0
1,1338,4,10,"[57.27, 47.03]",57.27,57.27,5.0
1,1338,5,12,"[4.89, 43.22]",43.22,57.27,5.0
1,1338,6,14,"[5.29, 2.72]",5.29,57.27,5.0
1,1338,7,16,"[18.93, 13.02]",18.93,57.27,5.0
1,1338,8,18,"[37.38, 44.4]",44.4,57.27,5.0
1,1338,9,20,"[2.53, 18.19]",18.19,57.27,5.0
1,1338,0,2,"[9.59, 0.0]",9.59,9.59,6.0
1,1338,1,4,"[3.6, 5.22]",5.22,9.59,6.0
1,1338,2,6,"[5.75, 0.0]",5.75,9.59,6.0
1,1338,3,8,"[0.0, 0.0]",0.0,9.59,6.0
1,1338,4,10,"[57.27, 47.03]",57.27,57.27,6.0
1,1338,5,12,"[16.51, 14.68]",16.51,57.27,6.0
1,1338,6,14,"[4.77, 5.62]",5.62,57.27,6.0
1,1338,7,16,"[0.0, 75.4]",75.4,75.4,6.0
1,1338,8,18,"[54.55, 0.0]",54.55,75.4,6.0
1,1338,9,20,"[0.0, 40.02]",40.02,75.4,6.0
1,1338,0,2,"[55.17, 29.45]",55.17,55.17,7.0
1,1338,1,4,"[3.6, 5.22]",5.22,55.17,7.0
1,1338,2,6,"[5.75, 0.0]",5.75,55.17,7.0
1,1338,3,8,"[0.0, 0.0]",0.0,55.17,7.0
1,1338,4,10,"[57.27, 47.03]",57.27,57.27,7.0
1,1338,5,12,"[5.29, 2.72]",5.29,57.27,7.0
1,1338,6,14,"[38.79, 5.92]",38.79,57.27,7.0
1,1338,7,16,"[61.94, 62.34]",62.34,62.34,7.0
1,1338,8,18,"[17.63, 21.5]",21.5,62.34,7.0
1,1338,9,20,"[68.86, 42.3]",68.86,68.86,7.0
1,1338,0,2,"[10.12, 12.07]",12.07,12.07,8.0
1,1338,1,4,"[3.6, 5.22]",5.22,12.07,8.0
1,1338,2,6,"[5.75, 0.0]",5.75,12.07,8.0
1,1338,3,8,"[0.0, 0.0]",0.0,12.07,8.0
1,1338,4,10,"[57.27, 47.03]",57.27,57.27,8.0
1,1338,5,12,"[2.72, 6.98]",6.98,57.27,8.0
1,1338,6,14,"[31.18, 26.3]",31.18,57.27,8.0
1,1338,7,16,"[3.78, 10.66]",10.66,57.27,8.0
1,1338,8,18,"[5.7, 0.0]",5.7,57.27,8.0
1,1338,9,20,"[37.38, 3.4]",37.38,57.27,8.0
1,1338,0,2,"[31.66, 17.45]",31.66,31.66,9.0
1,1338,1,4,"[3.6, 5.22]",5.22,31.66,9.0
1,1338,2,6,"[5.75, 0.0]",5.75,31.66,9.0
1,1338,3,8,"[0.0, 0.0]",0.0,31.66,9.0
1,1338,4,10,"[57.27, 47.03]",57.27,57.27,9.0
1,1338,5,12,"[17.9, 25.31]",25.31,57.27,9.0
1,1338,6,14,"[37.38, 5.62]",37.38,57.27,9.0
1,1338,7,16,"[12.23, 5.29]",12.23,57.27,9.0
1,1338,8,18,"[52.2, 6.98]",52.2,57.27,9.0
1,1338,9,20,"[0.0, 15.86]",15.86,57.27,9.0
1,1338,0,2,"[46.46, 3.63]",46.46,46.46,10.0
1,1338,1,4,"[3.6, 5.22]",5.22,46.46,10.0
1,1338,2,6,"[5.75, 0.0]",5.75,46.46,10.0
1,1338,3,8,"[0.0, 0.0]",0.0,46.46,10.0
1,1338,4,10,"[57.27, 47.03]",57.27,57.27,10.0
1,1338,5,12,"[19.77, 23.22]",23.22,57.27,10.0
1,1338,6,14,"[37.38, 3.4]",37.38,57.27,10.0
1,1338,7,16,"[1.71, 0.41]",1.71,57.27,10.0
1,1338,8,18,"[19.55, 1.27]",19.55,57.27,10.0
1,1338,9,20,"[14.29, 11.68]",14.29,57.27,10.0
1,1338,0,2,"[5.75, 43.84]",43.84,43.84,11.0
1,1338,1,4,"[0.0, 0.0]",0.0,43.84,11.0
1,1338,2,6,"[3.6, 5.22]",5.22,43.84,11.0
1,1338,3,8,"[0.0, 0.0]",0.0,43.84,11.0
1,1338,4,10,"[0.0, 57.27]",57.27,57.27,11.0
1,1338,5,12,"[4.89, 8.95]",8.95,57.27,11.0
1,1338,6,14,"[47.03, 37.38]",47.03,57.27,11.0
1,1338,7,16,"[2.72, 6.98]",6.98,57.27,11.0
1,1338,8,18,"[3.4, 31.18]",31.18,57.27,11.0
1,1338,9,20,"[1.71, 0.41]",1.71,57.27,11.0
1,1338,0,2,"[0.0, 24.05]",24.05,24.05,12.0
1,1338,1,4,"[3.6, 5.22]",5.22,24.05,12.0
1,1338,2,6,"[5.75, 0.0]",5.75,24.05,12.0
1,1338,3,8,"[0.0, 0.0]",0.0,24.05,12.0
1,1338,4,10,"[57.27, 47.03]",57.27,57.27,12.0
1,1338,5,12,"[28.9, 65.32]",65.32,65.32,12.0
1,1338,6,14,"[43.22, 0.4]",43.22,65.32,12.0
1,1338,7,16,"[31.18, 20.2]",31.18,65.32,12.0
1,1338,8,18,"[0.0, 75.4]",75.4,75.4,12.0
